item,code,binlabel,codelabel,time,spoint,dura,flag,enable,bini_1,bini_2,bini_3,bini_4,bini_5,bini_6,bini_7,bini_8,bini_9,bini_10,bini_11,bini_12,bini_13,bepoch,channel,bvtime,bvmknum,visible
593,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,577.354,288678,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,184,0,,605,
599,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,583.58,291791,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,186,0,,611,
605,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,591.45,295726,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,188,0,,617,
617,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,600.288,300145,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,191,0,,629,
621,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,602.268,301135,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,193,0,,635,
627,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,608.692,304347,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,195,0,,641,
633,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,612.948,306475,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,197,0,,647,
640,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,617.72,308861,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,199,0,,653,
646,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,622.258,311130,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,201,0,,659,
652,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,628.256,314129,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,203,0,,665,
658,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,635.022,317512,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,205,0,,671,
664,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,642.424,321213,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,207,0,,677,
670,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,649.436,324719,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,209,0,,683,
676,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,655.246,327624,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,211,0,,689,
682,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,663.076,331539,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,213,0,,695,
688,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,669.424,334713,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,215,0,,701,
694,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,672.924,336463,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,217,0,,707,
701,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,677.522,338762,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,219,0,,713,
708,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,681.84,340921,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,221,0,,719,
714,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,685.662,342832,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,223,0,,725,
720,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,693.266,346634,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,225,0,,731,
727,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,698.27,349136,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,227,0,,737,
733,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,701.488,350745,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,229,0,,743,
742,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,709.392,354697,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,231,0,,755,
748,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,712.508,356255,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,233,0,,761,
754,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,716.738,358370,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,235,0,,767,
760,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,723.38,361691,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,237,0,,773,
766,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,729.998,365000,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,239,0,,779,
772,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,734.152,367077,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,241,0,,785,
779,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,739.01,369506,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,243,0,,791,
785,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,746.194,373098,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,245,0,,797,
791,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,752.634,376318,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,247,0,,803,
797,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,759.036,379519,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,249,0,,809,
804,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,763.584,381793,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,251,0,,815,
810,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,766.934,383468,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,253,0,,821,
816,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,774.872,387437,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,255,0,,827,
823,152,"B1,4,5,7,10,13,17,23,27,29,35,41,143(SMLP_co_onset)",SMLP_co_onset,781.562,390782,2,0,1,1,4,5,7,10,13,17,23,27,29,35,41,143,257,0,,849,
826,112,"B1,4,5,8,10,13,18,23,28,30,35,42,143(SFLP_co_onset)",SFLP_co_onset,783.218,391610,2,0,1,1,4,5,8,10,13,18,23,28,30,35,42,143,258,0,,855,
832,162,"B1,4,6,7,10,14,17,24,27,31,36,43,143(SMLR_co_onset)",SMLR_co_onset,786.61,393306,2,0,1,1,4,6,7,10,14,17,24,27,31,36,43,143,260,0,,861,
839,12,"B1,3,5,8,9,13,18,21,26,30,33,46,144(AFHP_co_onset)",AFHP_co_onset,792.902,396452,2,0,1,1,3,5,8,9,13,18,21,26,30,33,46,144,262,0,,867,
845,82,"B1,3,6,7,9,14,17,22,25,31,34,47,143(AMLR_co_onset)",AMLR_co_onset,797.854,398928,2,0,1,1,3,6,7,9,14,17,22,25,31,34,47,143,264,0,,873,
851,102,"B1,4,6,8,10,14,18,24,28,32,36,44,144(SFHR_co_onset)",SFHR_co_onset,801.71,400856,2,0,1,1,4,6,8,10,14,18,24,28,32,36,44,144,266,0,,879,
