item,code,binlabel,codelabel,time,spoint,dura,flag,enable,bini_1,bini_2,bini_3,bini_4,bini_5,bini_6,bini_7,bini_8,bini_9,bini_10,bini_11,bini_12,bini_13,bepoch,channel,bvtime,bvmknum,visible
7,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,5.898,2950,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,1,0,,23,
14,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,10.51,5256,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,3,0,,29,
20,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,18.522,9262,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,5,0,,35,
26,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,24.784,12393,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,7,0,,41,
33,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,30.534,15268,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,9,0,,47,
39,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,38.324,19163,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,11,0,,53,
45,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,45.498,22750,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,13,0,,59,
51,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,53.55,26776,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,15,0,,65,
57,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,60.37,30186,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,17,0,,71,
63,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,67.52,33761,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,19,0,,77,
69,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,74.184,37093,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,21,0,,83,
75,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,80.27,40136,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,23,0,,89,
81,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,86.324,43163,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,25,0,,95,
87,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,93.486,46744,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,27,0,,101,
90,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,97.044,48523,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,28,0,,107,
96,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,103.712,51857,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,30,0,,113,
103,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,108.818,54410,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,31,0,,119,
109,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,115.936,57969,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,33,0,,125,
115,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,122.278,61140,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,35,0,,131,
121,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,130.794,65398,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,37,0,,137,
127,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,137.698,68850,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,39,0,,143,
133,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,145.256,72629,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,41,0,,149,
139,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,151.198,75600,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,43,0,,155,
145,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,158.6,79301,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,45,0,,161,
151,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,165.51,82756,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,47,0,,167,
157,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,172.528,86265,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,49,0,,173,
163,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,179.544,89773,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,50,0,,179,
171,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,184.826,92414,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,52,0,,191,
178,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,191.626,95814,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,54,0,,197,
184,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,198.498,99250,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,56,0,,203,
190,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,203.788,101895,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,58,0,,209,
197,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,208.42,104211,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,60,0,,215,
205,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,214.834,107418,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,62,0,,221,
211,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,221.22,110611,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,64,0,,227,
218,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,226.83,113416,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,66,0,,233,
224,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,234.306,117154,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,68,0,,239,
230,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,240.682,120342,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,70,0,,245,
236,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,243.708,121855,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,72,0,,251,
241,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,249.028,124515,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,73,0,,257,
247,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,256.558,128280,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,75,0,,263,
253,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,262.796,131399,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,77,0,,269,
257,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,267.1,133551,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,78,0,,281,
263,21,"B2,3,6,8,11,16,20,22,26,32,38,56,144(AFHR_fr_onset)",AFHR_fr_onset,274.048,137025,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,144,80,0,,287,
269,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,280.48,140241,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,82,0,,293,
275,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,287.676,143839,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,84,0,,299,
282,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,293.818,146910,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,86,0,,305,
289,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,298.058,149030,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,88,0,,311,
295,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,304.628,152315,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,90,0,,317,
301,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,312.014,156008,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,92,0,,323,
307,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,319.99,159996,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,94,0,,329,
314,91,"B2,4,5,8,12,15,20,23,28,30,39,50,144(SFHP_fr_onset)",SFHP_fr_onset,324.83,162416,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,144,96,0,,335,
320,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,331.89,165946,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,98,0,,341,
326,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,338.842,169422,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,100,0,,347,
333,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,344.576,172289,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,102,0,,353,
340,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,349.278,174640,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,104,0,,359,
346,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,357.912,178957,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,106,0,,365,
352,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,364.082,182042,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,108,0,,371,
359,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,369.27,184636,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,110,0,,377,
366,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,373.946,186974,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,112,0,,383,
377,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,384.264,192133,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,115,0,,395,
384,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,388.482,194242,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,117,0,,401,
390,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,391.73,195866,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,119,0,,407,
397,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,396.252,198127,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,121,0,,413,
403,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,404.136,202069,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,123,0,,419,
410,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,411.496,205749,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,125,0,,425,
416,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,418.996,209499,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,127,0,,431,
422,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,426.382,213192,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,129,0,,437,
428,131,"B2,4,5,7,12,15,19,23,27,29,39,49,144(SMHP_fr_onset)",SMHP_fr_onset,432.632,216317,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,144,131,0,,443,
435,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,436.864,218433,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,133,0,,449,
441,111,"B2,4,5,8,12,15,20,23,28,30,39,50,143(SFLP_fr_onset)",SFLP_fr_onset,443.328,221665,2,0,1,2,4,5,8,12,15,20,23,28,30,39,50,143,135,0,,455,
447,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,449.338,224670,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,137,0,,461,
453,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,456.858,228430,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,139,0,,467,
460,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,462.884,231443,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,141,0,,473,
467,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,467.204,233603,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,143,0,,479,
474,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,471.954,235978,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,145,0,,485,
481,61,"B2,3,6,7,11,16,19,22,25,31,38,55,144(AMHR_fr_onset)",AMHR_fr_onset,477.038,238520,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,144,147,0,,491,
488,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,481.724,240863,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,149,0,,497,
495,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,486.14,243071,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,151,0,,503,
501,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,492.606,246304,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,153,0,,509,
507,11,"B2,3,5,8,11,15,20,21,26,30,37,54,144(AFHP_fr_onset)",AFHP_fr_onset,496.438,248220,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,144,155,0,,515,
513,151,"B2,4,5,7,12,15,19,23,27,29,39,49,143(SMLP_fr_onset)",SMLP_fr_onset,499.642,249822,2,0,1,2,4,5,7,12,15,19,23,27,29,39,49,143,157,0,,521,
519,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,505.722,252862,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,159,0,,527,
525,41,"B2,3,6,8,11,16,20,22,26,32,38,56,143(AFLR_fr_onset)",AFLR_fr_onset,512.202,256102,2,0,1,2,3,6,8,11,16,20,22,26,32,38,56,143,161,0,,533,
531,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,519.366,259684,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,163,0,,539,
537,121,"B2,4,6,8,12,16,20,24,28,32,40,52,143(SFLR_fr_onset)",SFLR_fr_onset,526.958,263480,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,143,165,0,,545,
543,81,"B2,3,6,7,11,16,19,22,25,31,38,55,143(AMLR_fr_onset)",AMLR_fr_onset,531.288,265645,2,0,1,2,3,6,7,11,16,19,22,25,31,38,55,143,167,0,,551,
549,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,537.9,268951,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,169,0,,557,
555,101,"B2,4,6,8,12,16,20,24,28,32,40,52,144(SFHR_fr_onset)",SFHR_fr_onset,542.092,271047,2,0,1,2,4,6,8,12,16,20,24,28,32,40,52,144,171,0,,563,
564,51,"B2,3,5,7,11,15,19,21,25,29,37,53,144(AMHP_fr_onset)",AMHP_fr_onset,546.878,273440,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,144,174,0,,575,
569,161,"B2,4,6,7,12,16,19,24,27,31,40,51,143(SMLR_fr_onset)",SMLR_fr_onset,551.392,275697,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,143,176,0,,581,
575,71,"B2,3,5,7,11,15,19,21,25,29,37,53,143(AMLP_fr_onset)",AMLP_fr_onset,557.812,278907,2,0,1,2,3,5,7,11,15,19,21,25,29,37,53,143,178,0,,587,
581,141,"B2,4,6,7,12,16,19,24,27,31,40,51,144(SMHR_fr_onset)",SMHR_fr_onset,562.316,281159,2,0,1,2,4,6,7,12,16,19,24,27,31,40,51,144,180,0,,593,
587,31,"B2,3,5,8,11,15,20,21,26,30,37,54,143(AFLP_fr_onset)",AFLP_fr_onset,570.238,285120,2,0,1,2,3,5,8,11,15,20,21,26,30,37,54,143,182,0,,599,
