type,urevent
S 11,394
S 13,395
S 15,396
S 17,397
S 19,398
boundary,
S150,399
S151,400
S153,401
S155,402
S157,403
S159,404
S 60,405
S 61,406
S 63,407
S 65,408
S 67,409
S 69,410
S 80,411
S 81,412
S 83,413
S 85,414
S 87,415
S 89,416
S160,417
S161,418
S163,419
S165,420
S167,421
S169,422
boundary,
S 10,423
S 11,424
S 13,425
S 15,426
S 17,427
S 19,428
S 20,429
S 21,430
S 23,431
S 25,432
S 27,433
S 29,434
S150,435
S151,436
S153,437
S155,438
S157,439
S159,440
S 70,441
S 71,442
S 73,443
S 75,444
S 77,445
S 79,446
S 30,447
S 31,448
S 33,449
S 35,450
S 37,451
S 39,452
S110,453
S111,454
S113,455
S115,456
S117,457
S119,458
S 40,459
S 41,460
S 43,461
S 45,462
S 47,463
S 49,464
S 10,465
S 11,466
S 13,467
S 15,468
S 17,469
S 19,470
S 20,471
S 21,472
S 23,473
S 25,474
S 27,475
S 29,476
S160,477
S161,478
S163,479
S165,480
S167,481
S169,482
S150,483
S151,484
S153,485
S155,486
S157,487
S159,488
S100,489
S101,490
S103,491
S105,492
S107,493
S109,494
S100,495
S101,496
S103,497
S105,498
S107,499
S109,500
boundary,
S130,501
S131,502
S133,503
S135,504
S137,505
S139,506
S 30,507
S 31,508
S 33,509
S 35,510
S 37,511
S 39,512
S 60,513
S 61,514
S 63,515
S 65,516
S 67,517
S 69,518
S120,519
S121,520
S123,521
S125,522
S127,523
S129,524
S 30,525
S 31,526
S 33,527
S 35,528
S 37,529
S 39,530
boundary,
S120,531
S121,532
S123,533
S125,534
S127,535
S129,536
boundary,
S 60,537
S 61,538
S 63,539
S 65,540
S 67,541
S 69,542
S 60,543
S 61,544
S 63,545
S 65,546
S 67,547
S 69,548
S 20,549
S 21,550
S 23,551
S 25,552
S 27,553
S 29,554
S130,555
S131,556
S133,557
S135,558
S137,559
S139,560
S 40,561
S 41,562
S 43,563
S 45,564
S 47,565
S 49,566
S 30,567
S 31,568
S 33,569
S 35,570
S 37,571
S 39,572
S100,573
S101,574
S103,575
S105,576
S107,577
S109,578
S 70,579
S 71,580
S 73,581
S 75,582
S 77,583
S 79,584
S 50,585
S 51,586
S 53,587
S 55,588
S 57,589
S 59,590
S120,591
S121,592
S123,593
S125,594
S127,595
boundary,
S100,597
S101,598
S103,599
S105,600
S107,601
S109,602
boundary,
S110,603
S111,604
S113,605
S115,606
S117,607
S119,608
S 60,609
S 61,610
S 63,611
S 65,612
S 67,613
S 69,614
S 20,615
S 21,616
S 23,617
S 25,618
S 27,619
S 29,620
S110,621
S111,622
S113,623
S115,624
S117,625
S119,626
boundary,
S160,627
S161,628
S163,629
S165,630
S167,631
boundary,
S 60,633
S 61,634
S 63,635
S 65,636
S 67,637
S 69,638
S 70,639
S 71,640
S 73,641
S 75,642
S 77,643
S 79,644
S120,645
S121,646
S123,647
S125,648
S127,649
S129,650
boundary,
S140,651
S141,652
S143,653
S145,654
S147,655
S149,656
S140,657
S141,658
S143,659
S145,660
S147,661
S149,662
boundary,
S140,663
S141,664
S143,665
S145,666
S147,667
S149,668
S 20,669
S 21,670
S 23,671
S 25,672
S 27,673
S 29,674
S110,675
S111,676
S113,677
S115,678
S117,679
S119,680
S110,681
S111,682
S113,683
S115,684
S117,685
S119,686
S 90,687
S 91,688
S 93,689
S 95,690
S 97,691
S 99,692
S 70,693
S 71,694
S 73,695
S 75,696
S 77,697
S 79,698
S 60,699
S 61,700
S 63,701
S 65,702
S 67,703
S 69,704
S 70,705
S 71,706
S 73,707
S 75,708
S 77,709
S 79,710
S150,711
S151,712
S153,713
S155,714
S157,715
S159,716
S 40,717
S 41,718
S 43,719
S 45,720
S 47,721
S 49,722
S 50,723
S 51,724
S 53,725
S 55,726
S 57,727
S 59,728
S 80,729
S 81,730
S 83,731
S 85,732
S 87,733
S 89,734
S160,735
S161,736
S163,737
S165,738
S167,739
S169,740
S130,741
S131,742
S133,743
S135,744
S137,745
S139,746
S 60,747
S 61,748
S 63,749
S 65,750
S 67,751
S 69,752
S 30,753
S 31,754
S 33,755
S 35,756
S 37,757
S 39,758
S 80,759
S 81,760
S 83,761
S 85,762
S 87,763
S 89,764
S140,765
S141,766
S143,767
S145,768
S147,769
S149,770
S150,771
S151,772
S153,773
S155,774
S157,775
S159,776
S160,777
S161,778
S163,779
S165,780
S167,781
S169,782
S100,783
S101,784
S103,785
S105,786
S107,787
S109,788
S120,789
S121,790
S123,791
S125,792
S127,793
S129,794
S 70,795
S 71,796
S 73,797
S 75,798
S 77,799
S 79,800
S 20,801
S 21,802
S 23,803
S 25,804
S 27,805
S 29,806
boundary,
S100,823
S102,824
S104,825
S106,826
S108,827
boundary,
S 50,829
S 52,830
S 54,831
S 56,832
S 58,833
S 59,834
S160,835
S162,836
S164,837
S166,838
S168,839
S169,840
S160,841
S162,842
S164,843
S166,844
S168,845
S169,846
S130,847
S132,848
S134,849
S136,850
S138,851
S139,852
boundary,
S100,859
S102,860
S104,861
S106,862
S108,863
boundary,
S 70,865
S 72,866
S 74,867
S 76,868
S 78,869
boundary,
S 10,871
S 12,872
S 14,873
S 16,874
S 18,875
boundary,
S 70,877
S 72,878
S 74,879
S 76,880
S 78,881
boundary,
S 20,883
S 22,884
S 24,885
S 26,886
S 28,887
S 29,888
S100,889
S102,890
S104,891
S106,892
S108,893
S109,894
S150,895
S152,896
S154,897
S156,898
S158,899
S159,900
boundary,
S 22,902
S 24,903
S 26,904
S 28,905
boundary,
S160,913
S162,914
S164,915
S166,916
S168,917
S169,918
S160,919
S162,920
S164,921
S166,922
S168,923
S169,924
S160,925
S162,926
S164,927
S166,928
S168,929
S169,930
S 10,931
S 12,932
S 14,933
S 16,934
S 18,935
S 19,936
S 60,937
S 62,938
S 64,939
S 66,940
S 68,941
S 69,942
S120,943
S122,944
S124,945
S126,946
S128,947
boundary,
S 70,949
S 72,950
S 74,951
S 76,952
S 78,953
S 79,954
S 10,955
S 12,956
S 14,957
S 16,958
S 18,959
boundary,
S 80,961
S 82,962
S 84,963
S 86,964
S 88,965
S 89,966
S120,967
S122,968
S124,969
S126,970
S128,971
S129,972
boundary,
S 50,979
S 52,980
S 54,981
S 56,982
S 58,983
S 59,984
S 90,985
S 92,986
S 94,987
S 96,988
S 98,989
S 99,990
boundary,
S120,991
S122,992
S124,993
S126,994
S128,995
S129,996
S140,997
S142,998
S144,999
S146,1000
S148,1001
S149,1002
boundary,
S112,1004
S114,1005
S116,1006
S118,1007
S119,1008
S 20,1009
S 22,1010
S 24,1011
S 26,1012
S 28,1013
S 29,1014
boundary,
S 80,1015
S 82,1016
S 84,1017
S 86,1018
S 88,1019
S 89,1020
S130,1021
S132,1022
S134,1023
S136,1024
S138,1025
S139,1026
boundary,
S 40,1027
S 42,1028
S 44,1029
S 46,1030
S 48,1031
S 49,1032
S 60,1033
S 62,1034
S 64,1035
S 66,1036
S 68,1037
S 69,1038
S160,1039
S162,1040
S164,1041
S166,1042
S168,1043
S169,1044
S130,1045
S132,1046
S134,1047
S136,1048
S138,1049
S139,1050
S160,1051
S162,1052
S164,1053
S166,1054
S168,1055
S169,1056
S 70,1057
S 72,1058
S 74,1059
S 76,1060
S 78,1061
S 79,1062
S110,1063
S112,1064
S114,1065
S116,1066
S118,1067
S119,1068
S110,1069
S112,1070
S114,1071
S116,1072
S118,1073
S119,1074
S 80,1075
S 82,1076
S 84,1077
S 86,1078
S 88,1079
S 89,1080
S 10,1081
S 12,1082
S 14,1083
S 16,1084
S 18,1085
S 19,1086
S 80,1087
S 82,1088
S 84,1089
S 86,1090
S 88,1091
S 89,1092
S 50,1093
boundary,
S 59,1098
S140,1099
S142,1100
S144,1101
S146,1102
S148,1103
boundary,
S120,1105
S122,1106
S124,1107
S126,1108
S128,1109
boundary,
S 50,1111
S 52,1112
S 54,1113
S 56,1114
S 58,1115
S 59,1116
S150,1117
S152,1118
S154,1119
S156,1120
S158,1121
S159,1122
S 80,1123
S 82,1124
S 84,1125
S 86,1126
S 88,1127
S 89,1128
S 80,1129
S 82,1130
S 84,1131
S 86,1132
S 88,1133
S 89,1134
S140,1135
S142,1136
S144,1137
boundary,
S 30,1141
S 32,1142
S 34,1143
S 36,1144
S 38,1145
boundary,
S130,1147
S132,1148
S134,1149
S136,1150
S138,1151
S139,1152
S 90,1153
S 92,1154
S 94,1155
S 96,1156
S 98,1157
boundary,
S 70,1159
S 72,1160
S 74,1161
S 76,1162
S 78,1163
boundary,
S 30,1165
S 32,1166
S 34,1167
S 36,1168
S 38,1169
S 39,1170
boundary,
S 64,1173
S 66,1174
S 68,1175
S 69,1176
S 50,1177
S 52,1178
boundary,
S 90,1183
S 92,1184
S 94,1185
S 96,1186
boundary,
S 90,1189
S 92,1190
S 94,1191
S 96,1192
S 98,1193
S 99,1194
S 80,1195
S 82,1196
S 84,1197
S 86,1198
S 88,1199
S 89,1200
S 30,1201
S 32,1202
S 34,1203
S 36,1204
S 38,1205
boundary,
S 90,1207
S 92,1208
S 94,1209
S 96,1210
S 98,1211
S 99,1212
boundary,
S 10,1213
S 12,1214
S 14,1215
S 16,1216
S 18,1217
boundary,
S 40,1219
S 42,1220
S 44,1221
S 46,1222
S 48,1223
S 49,1224
S120,1225
S122,1226
S124,1227
S126,1228
S128,1229
S129,1230
boundary,
S130,1231
S132,1232
S134,1233
S136,1234
S138,1235
S139,1236
S150,1237
S152,1238
S154,1239
S156,1240
S158,1241
S159,1242
S130,1243
S132,1244
S134,1245
S136,1246
S138,1247
S139,1248
S 80,1249
S 82,1250
S 84,1251
S 86,1252
S 88,1253
S 89,1254
S110,1255
S112,1256
S114,1257
S116,1258
S118,1259
S119,1260
S 80,1261
S 82,1262
S 84,1263
S 86,1264
S 88,1265
S 89,1266
S 60,1267
S 62,1268
S 64,1269
S 66,1270
S 68,1271
S 69,1272
S140,1273
S142,1274
S144,1275
S146,1276
S148,1277
S149,1278
S150,1279
S152,1280
S154,1281
S156,1282
S158,1283
S159,1284
S 60,1285
S 62,1286
S 64,1287
S 66,1288
S 68,1289
S 69,1290
S 30,1291
S 32,1292
S 34,1293
S 36,1294
S 38,1295
S 39,1296
S 60,1297
S 62,1298
S 64,1299
S 66,1300
S 68,1301
S 69,1302
S 90,1303
S 92,1304
S 94,1305
S 96,1306
S 98,1307
S 99,1308
S 40,1309
S 42,1310
S 44,1311
S 46,1312
S 48,1313
S 49,1314
S 60,1315
S 62,1316
S 64,1317
S 66,1318
S 68,1319
S 69,1320
boundary,
S 30,1321
S 32,1322
S 34,1323
S 36,1324
S 38,1325
boundary,
S 10,1327
S 12,1328
S 14,1329
S 16,1330
S 18,1331
S 19,1332
S130,1333
S132,1334
S134,1335
S136,1336
S138,1337
S139,1338
S 50,1339
S 52,1340
S 54,1341
S 56,1342
S 58,1343
S 59,1344
S 40,1345
S 42,1346
S 44,1347
S 46,1348
S 48,1349
S 49,1350
S 20,1351
S 22,1352
S 24,1353
S 26,1354
S 28,1355
boundary,
S 70,1357
S 72,1358
S 74,1359
S 76,1360
S 78,1361
S 79,1362
S100,1363
S102,1364
S104,1365
S106,1366
S108,1367
S109,1368
S110,1369
S112,1370
S114,1371
S116,1372
S118,1373
S119,1374
S 90,1375
S 92,1376
S 94,1377
S 96,1378
S 98,1379
boundary,
S 20,1381
S 22,1382
S 24,1383
S 26,1384
S 28,1385
boundary,
S 50,1387
S 52,1388
S 54,1389
S 56,1390
S 58,1391
S 59,1392
S100,1393
S102,1394
S104,1395
S106,1396
S108,1397
boundary,
S160,1399
S162,1400
S164,1401
S166,1402
S168,1403
S169,1404
S150,1405
S152,1406
S154,1407
S156,1408
S158,1409
boundary,
S140,1411
S142,1412
S144,1413
S146,1414
S148,1415
S149,1416
S 20,1417
S 22,1418
S 24,1419
S 26,1420
S 28,1421
S 29,1422
S160,1423
S162,1424
S164,1425
S166,1426
S168,1427
S169,1428
S150,1429
S152,1430
S154,1431
S156,1432
S158,1433
S159,1434
boundary,
S 50,1435
S 52,1436
S 54,1437
S 56,1438
S 58,1439
boundary,
S100,1441
S102,1442
S104,1443
S106,1444
S108,1445
boundary,
S 40,1447
S 42,1448
S 44,1449
S 46,1450
S 48,1451
S 49,1452
S150,1453
S152,1454
S154,1455
S156,1456
S158,1457
S159,1458
S 30,1459
S 32,1460
S 34,1461
S 36,1462
S 38,1463
S 39,1464
S140,1465
S142,1466
S144,1467
S146,1468
S148,1469
S149,1470
S 50,1471
S 52,1472
S 54,1473
S 56,1474
S 58,1475
S 59,1476
S110,1477
S112,1478
S114,1479
S116,1480
S118,1481
S119,1482
S100,1483
S102,1484
S104,1485
S106,1486
S108,1487
S109,1488
S 40,1489
S 42,1490
S 44,1491
S 46,1492
S 48,1493
S 49,1494
S 30,1495
S 32,1496
S 34,1497
S 36,1498
S 38,1499
S 39,1500
S120,1501
S122,1502
S124,1503
S126,1504
S128,1505
S129,1506
S 70,1507
S 72,1508
S 74,1509
S 76,1510
S 78,1511
S 79,1512
S 90,1513
S 92,1514
S 94,1515
S 96,1516
S 98,1517
S 99,1518
S140,1519
S142,1520
S144,1521
S146,1522
S148,1523
S149,1524
S 70,1525
S 72,1526
S 74,1527
S 76,1528
S 78,1529
S 79,1530
S 40,1531
S 42,1532
S 44,1533
S 46,1534
S 48,1535
S 49,1536
S140,1537
S142,1538
S144,1539
S146,1540
S148,1541
S149,1542
S110,1543
S112,1544
S114,1545
S116,1546
S118,1547
S119,1548
S 20,1549
S 22,1550
S 24,1551
S 26,1552
S 28,1553
S 29,1554
S 40,1555
S 42,1556
S 44,1557
S 46,1558
S 48,1559
S 49,1560
S 60,1561
S 62,1562
S 64,1563
S 66,1564
S 68,1565
S 69,1566
boundary,
S 30,1567
S 32,1568
S 34,1569
S 36,1570
S 38,1571
S 39,1572
S120,1573
S122,1574
S124,1575
S126,1576
S128,1577
S129,1578
S 10,1579
S 12,1580
S 14,1581
S 16,1582
S 18,1583
S 19,1584
S 10,1585
S 12,1586
S 14,1587
S 16,1588
S 18,1589
S 19,1590
S150,1591
S152,1592
S154,1593
S156,1594
S158,1595
S159,1596
S110,1597
S112,1598
S114,1599
S116,1600
S118,1601
S119,1602
S 20,1603
S 22,1604
S 24,1605
S 26,1606
S 28,1607
S 29,1608
S100,1609
S102,1610
S104,1611
S106,1612
S108,1613
S109,1614
S140,1615
S142,1616
S144,1617
S146,1618
S148,1619
S149,1620
S130,1621
S132,1622
S134,1623
S136,1624
S138,1625
S139,1626
S 60,1627
S 62,1628
S 64,1629
S 66,1630
S 68,1631
S 69,1632
S150,1633
S152,1634
S154,1635
S156,1636
S158,1637
S159,1638
boundary,
